Method,Path Pattern,Risk Category,What It Does,Response Contains
GET,/rest/ldap/config,CRITICAL,Get LDAP configuration,"Decrypted `bindingAdminPassword` in plaintext, connectionUrl, baseDn, bindingAdminDn"
PUT,/rest/ldap/config,CRITICAL,Update LDAP config,Decrypted `bindingAdminPassword` in response
GET,/rest/credentials?includeData=true,CRITICAL,List credentials with data,"Decrypted credential data: non-password fields in plaintext (hostnames, usernames, client IDs, regions). Password fields replaced with blank sentinel. Requires `credential:update` scope."
GET,/rest/credentials/:credentialId?includeData=true,CRITICAL,Get credential with data,Same as above for single credential. Non-password fields in plaintext.
GET,/rest/executions/:id,CRITICAL,Get execution details,"Full node output data from workflow run — may contain API responses with tokens, PII, database results, any data processed by nodes"
GET,/api/v1/executions/:id,CRITICAL,Get execution (Public API),Same — full node output data when `includeData=true`. Public API does NOT use redaction service
GET,/api/v1/executions,CRITICAL,List executions (Public API),Bulk execution data when `includeData=true` — all node outputs across all executions
GET,/rest/workflows/:workflowId/executions/last-successful,CRITICAL,Get last successful execution,Full execution data with all node outputs
GET,/rest/variables/,CRITICAL,List all variables,"Variable values in plaintext — users commonly store secrets (API keys, passwords) as variables"
GET,/rest/variables/:id,CRITICAL,Get variable,Variable value in plaintext
GET,/api/v1/variables,CRITICAL,List variables (Public API),Variable values in plaintext
GET,/rest/mfa/qr,CRITICAL,Get MFA setup data,TOTP `secret` and `recoveryCodes` in plaintext — allows attacker to clone user's 2FA
POST,/rest/api-keys/,CRITICAL,Create API key,`rawApiKey` in plaintext — full API key shown once on creation
GET,/rest/mcp/api-key,CRITICAL,Get/create MCP API key,API key in plaintext
POST,/rest/mcp/api-key/rotate,CRITICAL,Rotate MCP API key,New API key in plaintext
POST,/rest/ai/free-credits,CRITICAL,Claim free AI credits,Creates credential with API key
POST,/rest/workflows/:workflowId/run,CRITICAL,Execute workflow manually,Execution results with node outputs — may contain any data the workflow processes
GET,/rest/debug/multi-main-setup,CRITICAL,Debug multi-main info,"NO AUTH (skipAuth). Exposes instanceId, leaderKey, all active workflows, activation errors"
POST,/rest/e2e/reset,CRITICAL,Reset entire database,"NO AUTH (skipAuth). Truncates all tables, recreates users. Only loaded when `N8N_E2E_TESTS=true`"
POST,/rest/source-control/push-workfolder,CRITICAL,Push to git remote,Exports all workflows/credentials/variables to external git — data exfiltration vector
