event_name,risk_category,trigger,what_it_implies
API key created,CRITICAL,Public API key created,Unauthorized user created persistent API access (backdoor)
API key deleted,CRITICAL,Public API key deleted,Unauthorized user removed API key (covering tracks or denial of service)
User changed role,CRITICAL,Admin changes user's instance role,Unauthorized user escalated/changed privileges
User created external secrets connection,CRITICAL,External secrets connection created,Unauthorized user connected a secrets vault
User deleted credentials,CRITICAL,Credential deleted via API,Unauthorized user destroyed credential data
User deleted external secrets connection,CRITICAL,External secrets connection deleted,Unauthorized user severed secrets vault connection
User deleted project,CRITICAL,Team project deleted,Unauthorized user destroyed project and its resources
User deleted user,CRITICAL,Admin deletes a user,Unauthorized user removed another user account
User deleted workflow,CRITICAL,Workflow deleted,Unauthorized user destroyed workflow data
User downloaded version,CRITICAL,Workflow version downloaded from history,Unauthorized user exfiltrated historical workflow data
User exported workflow,CRITICAL,Workflow JSON exported/downloaded,"Unauthorized user exfiltrated workflow data (may contain credential references, logic, API URLs)"
User invited new user,CRITICAL,Admin invites new user,Unauthorized user created an invitation (potential persistent access)
User updated Ldap settings,CRITICAL,Admin changes LDAP config,Unauthorized user changed auth backend config
User updated external secrets connection,CRITICAL,External secrets connection updated,Unauthorized user modified secrets vault connection
User updated external secrets settings,CRITICAL,External secrets provider settings saved,Unauthorized user accessed/modified vault credentials
User updated instance policies,CRITICAL,"Admin changes security settings (2FA enforcement, workflow sharing/publishing)",Unauthorized user weakened security policies
User updated log streaming destination,CRITICAL,Log streaming destination changed,Unauthorized user could redirect audit logs to attacker-controlled endpoint
User updated provisioning settings,CRITICAL,SSO user role provisioning changed,Unauthorized user changed how roles are auto-assigned
User updated single sign on settings,CRITICAL,Admin saves SAML/OIDC settings,"Unauthorized user changed SSO config, potential account takeover vector"
User updated source control settings,CRITICAL,Source control settings changed,Unauthorized user modified git/source control config (potential code injection)
Manual node exec finished,HIGH,Manual single-node execution finished,Unauthorized user executed a node with credentials and saw results
Manual workflow exec finished,HIGH,Manual workflow execution finished,Unauthorized user executed a workflow with credentials and saw results
User changed AI Usage settings,HIGH,AI data sharing settings changed,Unauthorized user changed data sharing policy
User changed personal settings,HIGH,User updates profile/password,Unauthorized user changed another user's password or profile
User clicked create API key button,HIGH,Create API key button clicked,Unauthorized user attempted to create API key
User clicked delete API key button,HIGH,Delete API key button clicked,Unauthorized user attempted to delete API key
User clicked execute node button,HIGH,Execute single node clicked,Unauthorized user triggered node execution using bound credentials
User clicked execute workflow button,HIGH,Execute Workflow clicked,"Unauthorized user triggered workflow execution — if workflow was crafted/modified, this is the exfiltration moment"
User cloned version,HIGH,Workflow version cloned,Unauthorized user copied historical workflow version
User copied ndv data,HIGH,Data copied from NDV output,Unauthorized user copied execution/node output data
User copied webhook URL,HIGH,Webhook URL copied,Unauthorized user obtained webhook endpoint URL
User created credentials,HIGH,New credential created (backend),Unauthorized user added credentials to the instance
User created workflow,HIGH,Workflow created,Unauthorized user could create a workflow that uses existing credentials to exfiltrate data to attacker-controlled endpoint
User invoked API,HIGH,Any public API endpoint called,Unauthorized user accessed the API (path/method logged)
User opened Executions log,HIGH,Executions log page opened,Unauthorized user viewed execution history (may reveal data flow)
User opened read-only execution,HIGH,Execution details viewed,Unauthorized user viewed execution data
User opened workflow history,HIGH,Workflow history panel opened,Unauthorized user browsed historical workflow versions
User reloaded external secrets,HIGH,External secrets provider reloaded,Unauthorized user triggered secrets refresh
